domain,random_hits10,freq_hits10,distmult_hits10,harmony_hits10,mrr_random,mrr_distmult,mrr_harmony,transe_hits10,rotate_hits10,complex_hits10,mrr_transe,mrr_rotate,mrr_complex,harmony3_hits10,mrr_harmony3,mrr_frequency
astronomy,0.14285714285714285,0.42857142857142855,0.0,0.125,0.0471813607770879,0.04331095435721921,0.10514191457362963,0.42857142857142855,0.14285714285714285,0.42857142857142855,0.15258496784325654,0.08919711241139813,0.08628784847272242,0.0,0.04331095435721921,0.27298527066328926
physics,0.1111111111111111,0.4444444444444444,0.3333333333333333,0.2,0.06680605693286852,0.27106586250538905,0.1445777230270673,0.4444444444444444,0.0,0.1111111111111111,0.16445073657717335,0.03509109751001525,0.1474774963775442,0.3333333333333333,0.27106586250538905,0.23161531279178338
materials,0.3,0.1,0.2,0.36363636363636365,0.15619480077759923,0.08247333584290106,0.14134654142161773,0.1,0.2,0.5,0.05294880908596754,0.09649899659551243,0.15380598568098566,0.2,0.08247333584290106,0.06632760214397587
wikidata_physics,0.07407407407407407,0.2962962962962963,0.24074074074074073,0.26993865030674846,0.026868550233949066,0.08946780438607695,0.08861527763939565,0.2839506172839506,0.1728395061728395,0.24074074074074073,0.10384943283173169,0.06462186929090992,0.0940293245758183,0.24074074074074073,0.08946780438607695,0.14137190340213193
wikidata_materials,0.006211180124223602,0.4161490683229814,0.32298136645962733,0.2716049382716049,0.019484950152636314,0.12656267854074132,0.11528055960018214,0.32919254658385094,0.16770186335403728,0.2670807453416149,0.11492520186531033,0.05534449522311211,0.09581080717214877,0.32298136645962733,0.12656267854074132,0.22311603421131004
