domain,random_hits10,freq_hits10,distmult_hits10,harmony_hits10,mrr_random,mrr_distmult,mrr_harmony,transe_hits10,rotate_hits10,complex_hits10,mrr_transe,mrr_rotate,mrr_complex,harmony3_hits10,mrr_harmony3,mrr_frequency
astronomy,0.2857142857142857,0.5714285714285714,0.42857142857142855,0.375,0.06608690380467384,0.1264990932692796,0.21047933604336044,0.2857142857142857,0.0,0.2857142857142857,0.06908223355591776,0.03725913277657595,0.08362596050565975,0.42857142857142855,0.1264990932692796,0.1266262507333936
physics,0.3333333333333333,0.4444444444444444,0.4444444444444444,0.2,0.0839772790753183,0.13289764490753145,0.0932126502714738,0.5555555555555556,0.4444444444444444,0.2222222222222222,0.25153695362028694,0.22017048794826571,0.25584747569437594,0.4444444444444444,0.13289764490753145,0.22935829602496272
materials,0.3,0.4,0.6,0.2727272727272727,0.17324230904459928,0.30126780626780625,0.11421314958273493,0.4,0.3,0.3,0.18530805633290107,0.08374971705854059,0.19742735234114545,0.6,0.30126780626780625,0.27157633287428684
wikidata_physics,0.043209876543209874,0.30864197530864196,0.2222222222222222,0.26993865030674846,0.025989425492189577,0.09376361324912162,0.10423305593111416,0.3271604938271605,0.20987654320987653,0.2716049382716049,0.12203164488201224,0.07144658400989976,0.11040679139964521,0.2222222222222222,0.09376361324912162,0.15126944603941253
wikidata_materials,0.037267080745341616,0.36024844720496896,0.34782608695652173,0.3950617283950617,0.019117024238020336,0.1254830097696807,0.13862288668858705,0.3105590062111801,0.16149068322981366,0.36645962732919257,0.11795759804791595,0.05105962838225765,0.13253512743467338,0.34782608695652173,0.1254830097696807,0.18306297047443656
