domain,random_hits10_mean,random_hits10_std,freq_hits10_mean,freq_hits10_std,distmult_hits10_mean,distmult_hits10_std,harmony_hits10_mean,harmony_hits10_std,mrr_random_mean,mrr_random_std,mrr_distmult_mean,mrr_distmult_std,mrr_harmony_mean,mrr_harmony_std,transe_hits10_mean,transe_hits10_std,rotate_hits10_mean,rotate_hits10_std,complex_hits10_mean,complex_hits10_std,mrr_transe_mean,mrr_transe_std,mrr_rotate_mean,mrr_rotate_std,mrr_complex_mean,mrr_complex_std,harmony3_hits10_mean,harmony3_hits10_std,mrr_harmony3_mean,mrr_harmony3_std,mrr_frequency_mean,mrr_frequency_std,n_seeds
astronomy,0.2714285714285714,0.15721499065923025,0.3857142857142856,0.11761037176408065,0.24285714285714283,0.16564311553262936,0.2875,0.0843685697138191,0.12218960878856744,0.09537057091972924,0.10449900751384869,0.04374838322030664,0.12942344201548253,0.06119978254718495,0.32857142857142857,0.2238601766389173,0.15714285714285714,0.15721499065923025,0.32857142857142857,0.21349058829961803,0.1053709834033885,0.050246337212583765,0.09023127951709234,0.06622918711900576,0.11476824406391165,0.06501319064711623,0.24285714285714283,0.16564311553262936,0.10449900751384869,0.04374838322030664,0.16320824354580793,0.07877765026072193,10
physics,0.2888888888888889,0.13042086564191857,0.45555555555555555,0.12227832606829021,0.3666666666666667,0.13907395078161916,0.26999999999999996,0.0674948557710553,0.10202707174531489,0.06682910698399461,0.15844037749634388,0.07209004784785415,0.13120728634796036,0.05251348749066789,0.5,0.10798059064528336,0.2888888888888889,0.2042081296605959,0.37777777777777777,0.15887118955205348,0.19997053759560984,0.061863460388040074,0.10848066241926158,0.05551311054358395,0.21559476442574468,0.11090316267340762,0.3666666666666667,0.13907395078161916,0.15844037749634388,0.07209004784785415,0.2475291444914522,0.07623874856669231,10
materials,0.17,0.11595018087284056,0.36,0.17763883459298968,0.29,0.13703203194062974,0.28181818181818175,0.09040262963743212,0.10504399637284342,0.05512863878777426,0.14952815553772475,0.08625579458724694,0.11929752268332183,0.030509650040561328,0.42000000000000004,0.16865480854231357,0.26,0.0966091783079296,0.31999999999999995,0.10327955589886446,0.16540448449155543,0.07778992288284048,0.09091566476304228,0.037990688987070365,0.12836669256889696,0.04023735534036365,0.29,0.13703203194062974,0.14952815553772475,0.08625579458724694,0.14723846764766405,0.07973170209289925,10
wikidata_physics,0.046296296296296294,0.013413996718523967,0.28580246913580243,0.01794965307618468,0.2537037037037037,0.022995610816376157,0.26012269938650306,0.02791991519979716,0.024540077902281958,0.00508581794260634,0.09779005242364755,0.005752842934227608,0.0961445498355197,0.013725646013351626,0.3030864197530864,0.03126624287856855,0.17962962962962964,0.018276887235557572,0.24691358024691362,0.03405955834824455,0.10824299296261193,0.013195074098973702,0.06647996105173178,0.005073975994005781,0.08917573304380381,0.013613820343850702,0.2537037037037037,0.022995610816376157,0.09779005242364755,0.005752842934227608,0.13521836051981548,0.01606961423478158,10
wikidata_materials,0.03354037267080746,0.016090566648219833,0.3857142857142857,0.029199153474641387,0.3236024844720497,0.047343699379278265,0.317283950617284,0.03683070096339826,0.022489940953739435,0.006287089751720287,0.11466331760876007,0.015355587249446457,0.11329000628813395,0.013088796045905423,0.3049689440993789,0.04247587480965993,0.16211180124223604,0.026098456172516635,0.29378881987577643,0.03351863927920924,0.10377087571841488,0.01199136036049983,0.056029912268187945,0.006499560693621393,0.09959108300794131,0.017478209957315832,0.3236024844720497,0.047343699379278265,0.11466331760876007,0.015355587249446457,0.20088180737649872,0.016843108634082178,10
