domain,random_hits10,freq_hits10,distmult_hits10,harmony_hits10,mrr_random,mrr_distmult,mrr_harmony,transe_hits10,rotate_hits10,complex_hits10,mrr_transe,mrr_rotate,mrr_complex,harmony3_hits10,mrr_harmony3,mrr_frequency
astronomy,0.42857142857142855,0.42857142857142855,0.2857142857142857,0.2857142857142857,0.25242783735815094,0.08731398979846185,0.08731398979846185,0.14285714285714285,0.14285714285714285,0.5714285714285714,0.05435952935952936,0.054841220113776505,0.11913086913086914,0.2857142857142857,0.08731398979846185,0.11293699297900979
physics,0.4444444444444444,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.28323728659437586,0.10810573162105729,0.07743205356648351,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.18824143692564743,0.11966422046401408,0.11414001588420193,0.2222222222222222,0.10810573162105729,0.12608415297439687
materials,0.3,0.5,0.3,0.2,0.1723728099385994,0.27698358055992695,0.15242388730854334,0.6,0.2,0.3,0.28745092915214865,0.08495317350481248,0.07792897470641373,0.3,0.27698358055992695,0.27837481962481964
wikidata_physics,0.043209876543209874,0.2716049382716049,0.24691358024691357,0.2392638036809816,0.016955456424105553,0.09477544277343304,0.07545096250600165,0.36419753086419754,0.18518518518518517,0.2222222222222222,0.11738984867422016,0.06569087033287528,0.07389043804288926,0.24691358024691357,0.09477544277343304,0.1271105711428749
wikidata_materials,0.049689440993788817,0.37888198757763975,0.2981366459627329,0.34782608695652173,0.02190860724407863,0.10125696868044966,0.12315799588049268,0.32298136645962733,0.15527950310559005,0.2732919254658385,0.10586973933971018,0.05139270198019971,0.07755857552429214,0.2981366459627329,0.10125696868044966,0.20433966051295793
