domain,random_hits10,freq_hits10,distmult_hits10,harmony_hits10,mrr_random,mrr_distmult,mrr_harmony,transe_hits10,rotate_hits10,complex_hits10,mrr_transe,mrr_rotate,mrr_complex,harmony3_hits10,mrr_harmony3,mrr_frequency
astronomy,0.5714285714285714,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.3353087388801675,0.0818400209546184,0.0818400209546184,0.42857142857142855,0.14285714285714285,0.2857142857142857,0.13596559589590948,0.08491897965582175,0.14837428845274547,0.14285714285714285,0.0818400209546184,0.08155721566762757
physics,0.4444444444444444,0.5555555555555556,0.3333333333333333,0.4444444444444444,0.12322486569443974,0.08501055036142754,0.12585949293172918,0.5555555555555556,0.4444444444444444,0.3333333333333333,0.1598353522695628,0.16096367400715225,0.10584635187283647,0.3333333333333333,0.08501055036142754,0.39227822368601145
materials,0.3,0.2,0.2,0.1,0.07894649131062174,0.08511753127172647,0.062153209308548674,0.6,0.1,0.2,0.23450572374485418,0.0459107247251803,0.10219279659082461,0.2,0.08511753127172647,0.07086445689386865
wikidata_physics,0.043209876543209874,0.2839506172839506,0.2345679012345679,0.2085889570552147,0.02484781736924827,0.09194276408542622,0.08801177447165216,0.3148148148148148,0.16666666666666666,0.2037037037037037,0.11608110062717891,0.06521362006528705,0.07616042412149833,0.2345679012345679,0.09194276408542622,0.13190120885898288
wikidata_materials,0.031055900621118012,0.40372670807453415,0.2981366459627329,0.3416149068322981,0.024723088190220368,0.08712780335462966,0.12844266206518792,0.3167701863354037,0.13043478260869565,0.2732919254658385,0.10630128620169488,0.05670895283101135,0.08206751883565794,0.2981366459627329,0.08712780335462966,0.20488721404998303
