domain,random_hits10,freq_hits10,distmult_hits10,harmony_hits10,mrr_random,mrr_distmult,mrr_harmony,transe_hits10,rotate_hits10,complex_hits10,mrr_transe,mrr_rotate,mrr_complex,harmony3_hits10,mrr_harmony3,mrr_frequency
astronomy,0.14285714285714285,0.42857142857142855,0.2857142857142857,0.2857142857142857,0.057902704272940204,0.18128271264159765,0.18128271264159765,0.14285714285714285,0.0,0.0,0.06159857882546958,0.039137882837792674,0.040188438060490106,0.2857142857142857,0.18128271264159765,0.27561317209810754
physics,0.4444444444444444,0.5555555555555556,0.3333333333333333,0.3333333333333333,0.10266984213332643,0.11575810993650652,0.09630591090546597,0.5555555555555556,0.2222222222222222,0.4444444444444444,0.19003540925271356,0.08429327708235476,0.2896579118801341,0.3333333333333333,0.11575810993650652,0.28910256410256413
materials,0.1,0.2,0.3,0.3,0.05497860263152617,0.20827396425018452,0.08448402975257195,0.2,0.4,0.2,0.07147754018012639,0.09538170454786095,0.10958432027752514,0.3,0.20827396425018452,0.09483943828059545
wikidata_physics,0.04938271604938271,0.2962962962962963,0.24691358024691357,0.2147239263803681,0.03292265463851279,0.10947748720555112,0.08760794216644638,0.25925925925925924,0.14814814814814814,0.29012345679012347,0.09702799941146749,0.06642664261077802,0.10059583157927472,0.24691358024691357,0.10947748720555112,0.1590816774165739
wikidata_materials,0.031055900621118012,0.34782608695652173,0.2732919254658385,0.32919254658385094,0.02247577921774957,0.1240305030419148,0.12250965904628147,0.2422360248447205,0.14906832298136646,0.2981366459627329,0.10260010106892707,0.054390429690673155,0.12003674512836313,0.2732919254658385,0.1240305030419148,0.17579923116344692
