domain,random_hits10,freq_hits10,distmult_hits10,harmony_hits10,mrr_random,mrr_distmult,mrr_harmony,transe_hits10,rotate_hits10,complex_hits10,mrr_transe,mrr_rotate,mrr_complex,harmony3_hits10,mrr_harmony3,mrr_frequency
astronomy,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.08791465304070346,0.1241026830751493,0.1241026830751493,0.14285714285714285,0.0,0.2857142857142857,0.06949241234955521,0.05509617640159512,0.08757164404223228,0.2857142857142857,0.1241026830751493,0.055292256762845
physics,0.1111111111111111,0.4444444444444444,0.6666666666666666,0.4444444444444444,0.05545267727285271,0.210227076971263,0.23623660290326956,0.6666666666666666,0.3333333333333333,0.4444444444444444,0.21661918328584995,0.09670388727060177,0.20547648582736303,0.6666666666666666,0.210227076971263,0.25840671095734863
materials,0.1,0.3,0.3,0.3,0.052184819500005405,0.1414237057462189,0.14039728852228853,0.5,0.4,0.4,0.18259469696969696,0.13730165813616024,0.14143689643689644,0.3,0.1414237057462189,0.10878965690186712
wikidata_physics,0.06172839506172839,0.29012345679012347,0.25308641975308643,0.26380368098159507,0.030819010866632888,0.10226074610844323,0.09559864797780086,0.2777777777777778,0.19753086419753085,0.25308641975308643,0.12176648884364628,0.07053295246172,0.08482881223201665,0.25308641975308643,0.10226074610844323,0.13099342615242565
wikidata_materials,0.031055900621118012,0.42857142857142855,0.37888198757763975,0.40993788819875776,0.017446357317493114,0.1159423815002963,0.14360211953561294,0.2795031055900621,0.14906832298136646,0.2732919254658385,0.09558048497691926,0.06362754356159545,0.0869410052667338,0.37888198757763975,0.1159423815002963,0.21934803355231142
