domain,random_hits10,freq_hits10,distmult_hits10,harmony_hits10,mrr_random,mrr_distmult,mrr_harmony,transe_hits10,rotate_hits10,complex_hits10,mrr_transe,mrr_rotate,mrr_complex,harmony3_hits10,mrr_harmony3,mrr_frequency
astronomy,0.14285714285714285,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.056343860952155884,0.13062284055315415,0.13062284055315415,0.7142857142857143,0.42857142857142855,0.5714285714285714,0.15693671407957122,0.23671749159433889,0.24236583522297808,0.42857142857142855,0.13062284055315415,0.18585223563109454
physics,0.2222222222222222,0.4444444444444444,0.4444444444444444,0.1111111111111111,0.07572669687560574,0.09015459848793182,0.06528130520883861,0.3333333333333333,0.2222222222222222,0.5555555555555556,0.19771067907268625,0.09666805903648008,0.32642904687192237,0.4444444444444444,0.09015459848793182,0.22214967597719537
materials,0.0,0.5,0.4,0.5,0.041828263644333785,0.11758875594935755,0.13961635586635585,0.5,0.2,0.4,0.15351909649490295,0.06645021645021645,0.15552948415821416,0.4,0.11758875594935755,0.1506692546583851
wikidata_physics,0.024691358024691357,0.25925925925925924,0.30246913580246915,0.26993865030674846,0.021842687366774638,0.09725251272956964,0.09777093200102925,0.29012345679012347,0.18518518518518517,0.21604938271604937,0.08932731153503418,0.059439670002253274,0.07349472228908271,0.30246913580246915,0.09725251272956964,0.13551643108952907
wikidata_materials,0.012422360248447204,0.34782608695652173,0.2484472049689441,0.2919254658385093,0.016684443480776252,0.0996297957311815,0.11636334338628607,0.2360248447204969,0.12422360248447205,0.2857142857142857,0.08687347009336983,0.046814494833542775,0.09888499641118696,0.2484472049689441,0.0996297957311815,0.20602338822854846
