domain,random_hits10,freq_hits10,distmult_hits10,harmony_hits10,mrr_random,mrr_distmult,mrr_harmony,transe_hits10,rotate_hits10,complex_hits10,mrr_transe,mrr_rotate,mrr_complex,harmony3_hits10,mrr_harmony3,mrr_frequency
astronomy,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.09666702345273774,0.08026723234096507,0.08026723234096507,0.5714285714285714,0.42857142857142855,0.2857142857142857,0.1522079772079772,0.18192355889724313,0.19493171087598332,0.14285714285714285,0.08026723234096507,0.11695678271308523
physics,0.2222222222222222,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.08201577944059645,0.2649877123201337,0.140880658090803,0.4444444444444444,0.2222222222222222,0.5555555555555556,0.17123199797618402,0.0784578076244743,0.22213403880070548,0.4444444444444444,0.2649877123201337,0.3175629871536304
materials,0.1,0.4,0.3,0.3,0.13406166466624725,0.15250143099361155,0.1745140525192707,0.5,0.3,0.4,0.17737869938433143,0.16999196917790813,0.16561487896402677,0.3,0.15250143099361155,0.13367322291235334
wikidata_physics,0.037037037037037035,0.25925925925925924,0.2777777777777778,0.2392638036809816,0.0250175873859675,0.10041792158878124,0.08357392341811325,0.29012345679012347,0.16049382716049382,0.24074074074074073,0.09363940532765147,0.05801605254198822,0.07919727913848161,0.2777777777777778,0.10041792158878124,0.09852477499264374
wikidata_materials,0.037267080745341616,0.37888198757763975,0.34782608695652173,0.391304347826087,0.01999459086214691,0.12707024257621696,0.12916508000665605,0.32298136645962733,0.19875776397515527,0.2732919254658385,0.08931136864664896,0.06027718488116761,0.10045846384745404,0.34782608695652173,0.12707024257621696,0.17676181898494786
