domain,random_hits10,freq_hits10,distmult_hits10,harmony_hits10,mrr_random,mrr_distmult,mrr_harmony,transe_hits10,rotate_hits10,complex_hits10,mrr_transe,mrr_rotate,mrr_complex,harmony3_hits10,mrr_harmony3,mrr_frequency
astronomy,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.10206625333060053,0.14206449763941054,0.14206449763941054,0.42857142857142855,0.14285714285714285,0.5714285714285714,0.16213764785193358,0.06608124744013245,0.10828277256848685,0.42857142857142855,0.14206449763941054,0.2427960927960928
physics,0.3333333333333333,0.6666666666666666,0.2222222222222222,0.6666666666666666,0.0887813521219954,0.20276881205610156,0.15396825396825398,0.5555555555555556,0.0,0.5555555555555556,0.34351538155885986,0.04670547468750083,0.4212678273247379,0.2222222222222222,0.20276881205610156,0.2538894796959313
materials,0.1,0.3,0.2,0.2,0.14052110520721706,0.07351342602346907,0.09051263239942955,0.3,0.3,0.2,0.07663144009077176,0.07900230587730588,0.07695469102445847,0.2,0.07351342602346907,0.08636762778422372
wikidata_physics,0.043209876543209874,0.30864197530864196,0.24691358024691357,0.2822085889570552,0.017781323565446636,0.09995710487339507,0.11092802975142757,0.3333333333333333,0.17901234567901234,0.30864197530864196,0.1233284305684192,0.07384012622719287,0.1058826688400761,0.24691358024691357,0.09995710487339507,0.13791692668532174
wikidata_materials,0.037267080745341616,0.37888198757763975,0.40372670807453415,0.3105590062111801,0.024421743456381515,0.13398073838868652,0.12079544098678978,0.3105590062111801,0.19875776397515527,0.2857142857142857,0.09616719164213916,0.05220244817093505,0.08908239225170465,0.40372670807453415,0.13398073838868652,0.2122635939521711
