domain,random_hits10,freq_hits10,distmult_hits10,harmony_hits10,mrr_random,mrr_distmult,mrr_harmony
astronomy,0.14285714285714285,0.42857142857142855,0.0,0.0,0.0471813607770879,0.04331095435721921,0.04331095435721921
physics,0.1111111111111111,0.4444444444444444,0.3333333333333333,0.5555555555555556,0.06680605693286852,0.27106586250538905,0.32365342478785475
materials,0.3,0.1,0.2,0.2,0.15619480077759923,0.08247333584290106,0.0936762641653946
