domain,random_hits10,freq_hits10,distmult_hits10,harmony_hits10,mrr_random,mrr_distmult,mrr_harmony,transe_hits10,rotate_hits10,complex_hits10,mrr_transe,mrr_rotate,mrr_complex,harmony3_hits10,mrr_harmony3,mrr_frequency
astronomy,0.14285714285714285,0.42857142857142855,0.0,0.0,0.11999675201645645,0.04768605050863116,0.04768605050863116,0.0,0.14285714285714285,0.0,0.0393441770647653,0.057139993042248684,0.036923073306949036,0.0,0.04768605050863116,0.16146616541353384
physics,0.2222222222222222,0.3333333333333333,0.2222222222222222,0.0,0.0583788813117697,0.10342767579609685,0.043734132939277366,0.5555555555555556,0.6666666666666666,0.2222222222222222,0.1165282454171343,0.14608863856175683,0.06767099372362531,0.2222222222222222,0.10342767579609685,0.1548440415506979
materials,0.1,0.7,0.1,0.5,0.04610909700768494,0.056138018472045026,0.1401680121982917,0.5,0.2,0.3,0.23222985347985348,0.049916181556925274,0.10319154550847913,0.1,0.056138018472045026,0.2109022644022644
wikidata_physics,0.043209876543209874,0.2839506172839506,0.2654320987654321,0.3312883435582822,0.02235626567999269,0.09858512723667741,0.13717289021447257,0.29012345679012347,0.19135802469135801,0.2222222222222222,0.09798826692475772,0.06957122297441337,0.0932710382192552,0.2654320987654321,0.09858512723667741,0.13849723941825834
wikidata_materials,0.062111801242236024,0.4161490683229814,0.3167701863354037,0.33540372670807456,0.03864282537789134,0.10554905450380335,0.11511035010033994,0.37888198757763975,0.18633540372670807,0.3416149068322981,0.12212231530151318,0.0684812431273846,0.1125351982071983,0.3167701863354037,0.10554905450380335,0.2032161286348741
